,Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pagudpud,75,PH,1592090921,83,18.56,120.79,80.6,4.16
1,Albany,30,US,1592090689,50,42.6,-73.97,59.0,7.72
2,Nānākuli,40,US,1592090921,48,21.39,-158.15,86.0,16.11
3,Salalah,75,OM,1592090904,94,17.02,54.09,84.2,4.7
4,Khovd,2,MN,1592090922,32,48.01,91.64,61.7,2.51
5,Busselton,24,AU,1592090652,85,-33.65,115.33,53.01,12.68
6,Faanui,27,PF,1592090922,79,-16.48,-151.75,80.85,9.75
7,Narasannapeta,100,IN,1592090922,82,18.42,84.05,83.1,7.52
8,Vao,34,NC,1592090923,80,-22.67,167.48,72.82,25.86
9,Bethanien,0,NA,1592090923,47,-26.5,17.16,43.9,6.49
10,Yellowknife,75,CA,1592090882,37,62.46,-114.35,66.2,14.99
11,Jamestown,1,US,1592090923,41,42.1,-79.24,59.0,8.05
12,Matamoros,20,MX,1592090923,14,25.53,-103.25,91.4,16.11
13,Port Blair,98,IN,1592090924,81,11.67,92.75,82.9,12.41
14,Sisimiut,100,GL,1592090924,75,66.94,-53.67,38.91,8.25
15,Ushuaia,40,AR,1592090924,74,-54.8,-68.3,33.8,9.17
16,Rikitea,100,PF,1592090924,82,-23.12,-134.97,76.24,12.53
17,New Norfolk,100,AU,1592090924,80,-42.78,147.06,52.0,4.0
18,Nemuro,0,JP,1592090925,84,43.32,145.57,56.55,6.64
19,Keti Bandar,0,PK,1592090925,85,24.14,67.45,83.07,9.6
20,Hilo,20,US,1592090925,51,19.73,-155.09,84.2,12.75
21,Makkah al Mukarramah,2,SA,1592090925,29,21.43,39.83,90.19,3.78
22,Pangnirtung,12,CA,1592090925,75,66.15,-65.71,38.21,3.18
23,Severo-Kuril'sk,100,RU,1592090926,93,50.68,156.12,40.96,21.97
24,Bambous Virieux,75,MU,1592090926,94,-20.34,57.76,71.6,3.36
25,Betioky,27,MG,1592090926,78,-23.72,44.38,61.11,11.36
26,Nísia Floresta,20,BR,1592090926,94,-6.09,-35.21,75.2,4.7
27,Cidreira,50,BR,1592090927,57,-30.18,-50.21,55.71,15.61
28,Markivka,68,UA,1592090927,64,49.52,39.57,66.15,2.04
29,Pacific Grove,1,US,1592090927,48,36.62,-121.92,66.2,14.99
30,Esperance,28,AU,1592090927,87,-33.87,121.9,51.8,14.99
31,Nara,75,JP,1592090927,94,34.69,135.8,77.0,2.24
32,Pestovo,0,RU,1592090928,77,58.59,35.8,47.37,5.1
33,Alta Floresta,5,BR,1592090691,72,-9.88,-56.09,75.15,2.28
34,Palmer,20,US,1592090928,42,42.16,-72.33,64.99,10.29
35,Ushtobe,0,KZ,1592090928,40,45.25,77.98,63.68,7.05
36,Padang,41,ID,1592090929,71,-0.95,100.35,78.98,3.69
37,Kaitangata,0,NZ,1592090929,76,-46.28,169.85,37.99,3.0
38,Butaritari,36,KI,1592090929,72,3.07,172.79,82.89,10.54
39,Bluff,0,NZ,1592090929,70,-46.6,168.33,40.82,8.5
40,Atuona,26,PF,1592090929,81,-9.8,-139.03,80.74,20.27
41,Province of Trapani,0,IT,1592090930,88,37.83,12.67,73.99,9.17
42,Caravelas,0,BR,1592090930,89,-17.71,-39.25,71.85,3.47
43,Saint Paul Harbor,1,US,1592090930,48,57.79,-152.41,62.6,13.87
44,Arrondissement de Villefranche-de-Rouergue,0,FR,1592090930,94,44.33,2.0,54.0,0.94
45,Narsaq,100,GL,1592090930,87,60.92,-46.05,44.6,4.7
46,Mossamedes,0,AO,1592090931,73,-15.2,12.15,68.18,5.68
47,Dikson,100,RU,1592090931,87,73.51,80.55,34.93,12.75
48,Marawi,100,PH,1592090931,86,8.0,124.29,79.0,5.01
49,Ribeira Grande,40,PT,1592090931,67,38.52,-28.7,60.8,9.17
50,San Cristobal,40,VE,1592090931,48,7.77,-72.22,86.0,20.8
51,Hong Kong,98,HK,1592090818,87,22.29,114.16,82.99,4.0
52,Port Lincoln,52,AU,1592090932,78,-34.73,135.87,58.71,20.09
53,Avarua,13,CK,1592090906,53,-21.21,-159.78,75.2,8.05
54,Qaanaaq,11,GL,1592090933,69,77.48,-69.36,40.21,4.09
55,Carnarvon,24,AU,1592090933,43,-24.87,113.63,60.1,20.94
56,Lagoa,24,PT,1592090933,69,39.05,-27.98,61.81,16.2
57,Mataura,0,NZ,1592090933,68,-46.19,168.86,40.41,3.18
58,Krasnoarmeysk,40,RU,1592090933,53,51.02,45.7,64.99,3.0
59,Nikolskoye,0,RU,1592090934,62,59.7,30.79,53.6,2.24
60,San Rafael,2,AR,1592090934,46,-34.62,-68.33,47.59,6.71
61,Vaini,75,TO,1592090934,73,-21.2,-175.2,73.4,13.87
62,Karakol,0,KG,1592090646,45,42.49,78.39,49.68,4.0
63,Ratnagiri,100,IN,1592090934,84,16.98,73.3,81.5,9.04
64,Ilulissat,89,GL,1592090935,52,69.22,-51.1,42.8,6.93
65,Erbaa,75,TR,1592090935,93,40.67,36.57,59.0,4.7
66,Khatanga,0,RU,1592090935,53,71.97,102.5,47.14,8.88
67,Flinders,100,AU,1592090935,95,-34.58,150.86,62.01,1.01
68,Fortuna,20,US,1592090935,72,40.6,-124.16,64.99,8.05
69,Tiksi,100,RU,1592090936,94,71.69,128.87,33.19,7.16
70,Kapaa,75,US,1592090936,62,22.08,-159.32,84.2,14.99
71,Coquimbo,0,CL,1592090936,76,-29.95,-71.34,57.2,4.7
72,Druzhba,100,UA,1592090937,92,52.04,33.95,60.82,18.72
73,Bredasdorp,38,ZA,1592090937,81,-34.53,20.04,53.6,6.58
74,Vidin,98,BG,1592090937,96,43.99,22.87,63.0,5.01
75,San Patricio,40,MX,1592090937,74,19.22,-104.7,84.2,11.41
76,Saint-Philippe,20,RE,1592090937,82,-21.36,55.77,66.2,2.24
77,Puqi,100,CN,1592090938,95,29.72,113.88,76.91,3.11
78,Husavik,20,IS,1592090938,57,66.04,-17.34,51.8,5.82
79,Madona,0,LV,1592090938,75,56.85,26.22,52.3,7.45
80,Bhaderwah,0,IN,1592090939,47,32.98,75.72,61.23,2.08
81,Sioux Lookout,20,CA,1592090855,32,50.1,-91.92,68.0,8.05
82,Thompson,75,CA,1592090939,34,55.74,-97.86,68.0,11.41
83,Barrow,90,US,1592090939,86,71.29,-156.79,39.2,8.05
84,Teya,99,RU,1592090940,88,60.38,92.63,60.89,6.4
85,Agirish,38,RU,1592090940,78,61.92,63.02,39.16,7.29
86,Madang,100,PG,1592090940,73,-5.22,145.8,83.61,3.69
87,Saskylakh,96,RU,1592090940,58,71.92,114.08,44.83,6.89
88,Cabo San Lucas,75,MX,1592090940,30,22.89,-109.91,93.2,18.34
89,Alexandria,0,EG,1592090941,68,31.22,29.96,71.6,8.05
90,George Town,20,MY,1592090799,94,5.41,100.34,80.6,4.05
91,Dingle,100,PH,1592090941,84,11.0,122.67,78.01,6.93
92,Ostrovnoy,48,RU,1592090941,63,68.05,39.51,56.01,15.03
93,Farafangana,56,MG,1592090942,91,-22.82,47.83,65.28,9.28
94,Cherskiy,35,RU,1592090942,43,68.75,161.3,66.13,7.67
95,Cape Town,20,ZA,1592090942,87,-33.93,18.42,51.01,9.17
96,Nuuk,100,GL,1592090942,75,64.18,-51.72,41.0,29.97
97,Revda,0,RU,1592090943,93,56.8,59.93,35.6,2.71
98,Chokurdakh,72,RU,1592090943,40,70.63,147.92,64.09,6.42
99,Kudat,75,MY,1592090943,100,6.88,116.85,77.0,2.24
100,Chui,0,UY,1592090943,64,-33.7,-53.46,44.11,11.18
101,Clyde River,1,CA,1592090943,86,70.47,-68.59,33.8,13.87
102,Staraya Poltavka,19,RU,1592090944,72,50.48,46.48,65.75,14.36
103,Yulara,0,AU,1592090944,65,-25.24,130.99,46.4,6.93
104,Arraial do Cabo,0,BR,1592090944,94,-22.97,-42.03,71.6,3.36
105,Hīt,0,IQ,1592090944,27,33.64,42.83,77.38,5.14
106,Kościerzyna,40,PL,1592090945,93,54.12,17.98,59.0,9.17
107,Hervey Bay,41,AU,1592090945,87,-25.3,152.85,75.0,3.0
108,Saint-Augustin,53,CA,1592090945,63,51.23,-58.65,55.74,15.88
109,Boa Vista,20,BR,1592090709,66,2.82,-60.67,84.2,3.36
110,Līgatne,10,LV,1592090945,72,57.23,25.04,54.0,6.46
